,DMI
1953-12-01,0.19612571039644733
1954-01-01,-0.7080837709715606
1954-02-01,-0.13986121144034205
1954-03-01,0.4438069369532589
1954-04-01,1.0222444237379853
1954-05-01,0.37359352760864906
1954-06-01,0.09896439091081422
1954-07-01,-0.8877012919295161
1954-08-01,-0.8257636880270608
1954-09-01,-1.4101266739698333
1954-10-01,-1.7225405384048453
1954-11-01,-0.13402684997783032
1954-12-01,-0.6423517498973667
1955-01-01,-0.4453561486108899
1955-02-01,-0.7285351523593366
1955-03-01,-0.07580491396420563
1955-04-01,0.15066099261477972
1955-05-01,-0.8395441603209943
1955-06-01,-0.6265513045370816
1955-07-01,-0.3754229233025851
1955-08-01,0.24803456484783626
1955-09-01,-1.0837295146876893
1955-10-01,-1.1931516392221257
1955-11-01,0.5019963437392714
1955-12-01,0.3561483846618646
1956-01-01,0.7533516788395531
1956-02-01,0.6148322589682168
1956-03-01,-0.17222007864748995
1956-04-01,-0.49419286592093487
1956-05-01,-0.9658820649143499
1956-06-01,-1.1508923257030033
1956-07-01,-1.2461734869351568
1956-08-01,-0.16175059504705835
1956-09-01,-1.259231466685885
1956-10-01,-1.3079749777343035
1956-11-01,-0.9622167141200908
1956-12-01,-0.48289211034106505
1957-01-01,-1.1103080023299006
1957-02-01,-0.7069152777887294
1957-03-01,0.17490550689198825
1957-04-01,0.40273603119710505
1957-05-01,0.7061546895925129
1957-06-01,-0.08655563945906858
1957-07-01,-0.13811914867466413
1957-08-01,0.2324474733759037
1957-09-01,0.43839805232948903
1957-10-01,0.2640096407585476
1957-11-01,-0.722025113676562
1957-12-01,-0.5812353254661518
1958-01-01,-0.4557905959905747
1958-02-01,-0.11802900892102114
1958-03-01,0.12615854453718364
1958-04-01,-0.5375178763572034
1958-05-01,-1.1233953380469022
1958-06-01,-1.799160174579209
1958-07-01,-1.5900663614729007
1958-08-01,-1.1078648412514873
1958-09-01,-1.8122184913668842
1958-10-01,-1.794092709283487
1958-11-01,-1.0774885650934687
1958-12-01,0.17515767499716745
1959-01-01,0.96020667749143
1959-02-01,0.3031050036796522
1959-03-01,-0.28948418716728974
1959-04-01,-0.5184992163228234
1959-05-01,-1.1296885523119191
1959-06-01,-1.0343679026607377
1959-07-01,-1.1320793867763677
1959-08-01,-0.847969561389635
1959-09-01,-0.5755227495054571
1959-10-01,-0.9191077581394719
1959-11-01,-0.6233472143526843
1959-12-01,-0.6753298011611739
1960-01-01,-0.8658719426929447
1960-02-01,-0.08199673677194771
1960-03-01,-0.4021487930923152
1960-04-01,-1.2634181074789053
1960-05-01,-1.806114813335219
1960-06-01,-1.3506420009800006
1960-07-01,-0.9337694461068176
1960-08-01,-1.337282238580145
1960-09-01,-1.4453372103112179
1960-10-01,-1.9957018442924792
1960-11-01,-2.0274791276134314
1960-12-01,-1.4159174496697666
1961-01-01,-0.33382826211178795
1961-02-01,0.38924335522205067
1961-03-01,0.7797979864141442
1961-04-01,-0.1629942749008986
1961-05-01,-0.18569366767582018
1961-06-01,0.7126957500864094
1961-07-01,1.8755343440369043
1961-08-01,2.025570850642664
1961-09-01,2.589882940809572
1961-10-01,2.4580793614025236
1961-11-01,1.6883999504647316
1961-12-01,1.0178966869815522
1962-01-01,1.4071659121118116
1962-02-01,1.5058702399030672
1962-03-01,0.8423211559884203
1962-04-01,0.34021326905609084
1962-05-01,-0.34680861309621736
1962-06-01,-0.30754177626172485
1962-07-01,-0.4462481377900069
1962-08-01,0.1529081289015996
1962-09-01,0.3292991844249048
1962-10-01,0.2852986022447127
1962-11-01,0.4296194951144639
1962-12-01,0.5597446240302851
1963-01-01,0.5816592527206432
1963-02-01,1.5540848723557183
1963-03-01,0.8147582285943189
1963-04-01,0.18115712850202453
1963-05-01,-0.6894473868572594
1963-06-01,-0.2731843544820685
1963-07-01,0.6071529212884266
1963-08-01,1.8630071067349787
1963-09-01,1.8700270943613604
1963-10-01,2.238086077156315
1963-11-01,1.6859593720517823
1963-12-01,0.8359339568886635
1964-01-01,-0.11341540898555424
1964-02-01,-0.6243026421904845
1964-03-01,0.4409065709507538
1964-04-01,0.21910119097474579
1964-05-01,-0.6616476373694733
1964-06-01,-0.36001744202523933
1964-07-01,-0.6968932361520419
1964-08-01,-0.8054777839515902
1964-09-01,-1.5664704924346442
1964-10-01,-0.821934034217292
1964-11-01,0.691275295428355
1964-12-01,0.6085243672502036
1965-01-01,0.2967680295392636
1965-02-01,-0.27754635146696455
1965-03-01,0.5486922301133788
1965-04-01,0.47962289323974416
1965-05-01,-0.012807437699843938
1965-06-01,-0.38880153932335293
1965-07-01,-0.3378500439762143
1965-08-01,0.5072879669510526
1965-09-01,0.1483837931707654
1965-10-01,0.6822828976116067
1965-11-01,0.5233205072926442
1965-12-01,-0.5005408730215096
1966-01-01,0.1593526908109228
1966-02-01,0.289603340816941
1966-03-01,0.2679187900830733
