,east,west,dmi
1950-05-01,-0.9798992071686654,-0.6335535766968581,0.34634563047180733
1950-06-01,-0.8960639731849089,-0.8121263718682527,0.08393760131665629
1950-07-01,-1.0793474806797616,-0.9180395617067445,0.1613079189730171
1950-08-01,-0.982922415288323,-0.8691237128671195,0.11379870242120349
1950-09-01,-0.6928277769773222,-1.039308164401624,-0.34648038742430176
1950-10-01,-0.5319019481348188,-1.0290844894371254,-0.49718254130230655
1950-11-01,-0.8687557003221831,-1.2350248415020606,-0.3662691411798775
1950-12-01,-1.3446685406662087,-1.1604849684326886,0.1841835722335201
1951-01-01,-1.0736877538511,-1.0541673509144502,0.019520402936649806
1951-02-01,-1.8434906072545796,-0.8587947583161467,0.9846958489384329
1951-03-01,-1.0145533666413036,-0.45190713115939285,0.5626462354819107
1951-04-01,-1.0646763147326037,-1.3080381605675664,-0.24336184583496268
1951-05-01,-0.98786331195862,-0.4292020476594959,0.5586612642991241
1951-06-01,-0.6064105729475079,-0.4570196105903406,0.1493909623571673
1951-07-01,-0.2986470166124015,-0.4968762794036565,-0.19822926279125497
1951-08-01,-0.19662162182528675,-0.2978214690735702,-0.10119984724828346
1951-09-01,-0.4175024922067811,-0.031917331076265675,0.38558516113051544
1951-10-01,-0.07972989809692273,0.037063908217042245,0.11679380631396497
1951-11-01,-0.8877750008023039,0.16849327490401675,1.0562682757063206
1951-12-01,-0.15288935264610748,0.5009809738075631,0.6538703264536706
1952-01-01,-0.6404259069674345,-0.09307385768953647,0.547352049277898
1952-02-01,-0.5163580035805425,0.32679461408966726,0.8431526176702098
1952-03-01,-0.3394227482599668,0.4139532727158123,0.7533760209757792
1952-04-01,-0.9268136605832016,0.16804583666150355,1.0948594972447052
1952-05-01,-0.5208176598244155,-0.1630501174647595,0.357767542359656
1952-06-01,-0.07125182368277552,-0.5292966144992294,-0.4580447908164539
1952-07-01,-0.4366551338629899,-1.0873214333718488,-0.650666299508859
1952-08-01,-0.22684158109675956,-1.0349775784848523,-0.8081359973880927
1952-09-01,-0.07740976163299892,-0.900512436404991,-0.8231026747719921
1952-10-01,-0.25163091792394016,-1.3472535226315705,-1.0956226047076303
1952-11-01,-0.9531970305608832,-0.773457308146254,0.1797397224146292
1952-12-01,-0.8752227473624281,-0.27919853734431527,0.5960242100181128
1953-01-01,-1.2943189125755583,-0.014210460139069939,1.2801084524364883
1953-02-01,-1.229236296719748,-0.09648709891685282,1.1327491978028952
1953-03-01,-0.5736910727206492,0.3583155790593294,0.9320066517799787
1953-04-01,-0.13676719226461623,-0.049516996580893854,0.08725019568372237
1953-05-01,-0.9192047281986437,0.5337209993547449,1.4529257275533887
1953-06-01,-0.5747723484394679,0.14349771844962061,0.7182700668890885
1953-07-01,-0.5098230737597446,-0.5123215650777644,-0.0024984913180198243
1953-08-01,-0.6263923542804788,-0.4194771668333493,0.2069151874471295
1953-09-01,-1.0326295813487316,-0.4967202858700398,0.5359092954786918
1953-10-01,-0.9342892517916727,-0.9563645409266094,-0.022075289134936726
1953-11-01,-0.45178572077139384,-0.1284914512561153,0.3232942695152785
1953-12-01,-0.10095902552256573,0.0951666848738816,0.19612571039644733
1954-01-01,0.2868649973205112,-0.4212187736510494,-0.7080837709715606
1954-02-01,0.12331598388661143,-0.01654522755373063,-0.13986121144034205
